"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Sonic"
"TIMESTAMP","RECORD","u","v","w","Ts"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2025-03-27 20:06:45.65",191,0.005121231,0.008575439,0.01046944,22.36974
"2025-03-27 20:06:45.7",192,0.004617691,0.007953644,0.008638382,22.32615
"2025-03-27 20:06:45.75",193,0.007907867,0.007246017,0.01298904,22.34729
"2025-03-27 20:06:45.8",194,0.008300781,0.006904602,0.007043839,22.34748
"2025-03-27 20:06:45.85",195,0.00696373,0.00371933,0.00378418,22.32568
"2025-03-27 20:06:45.9",196,0.006139755,0.008295059,0.0134449,22.3485
"2025-03-27 20:06:45.95",197,0.005653381,0.006278992,0.006385803,22.34572
"2025-03-27 20:06:46",198,0.003892899,0.005735397,0.01012421,22.34593
"2025-03-27 20:06:46.05",199,0.003255844,0.006584167,0.009944916,22.34385
"2025-03-27 20:06:46.1",200,0.005346298,0.006500244,0.007133484,22.32398
"2025-03-27 20:06:46.15",201,0.007797241,0.007287979,0.004934311,22.32491
"2025-03-27 20:06:46.2",202,0.00892067,0.006055832,0.005966187,22.34597
"2025-03-27 20:06:46.25",203,0.006561279,0.006000519,0.01175308,22.34826
"2025-03-27 20:06:46.3",204,0.008857727,0.003713608,0.01361465,22.35177
"2025-03-27 20:06:46.35",205,0.01147652,0.009605408,0.01316833,22.36288
"2025-03-27 20:06:46.4",206,0.007350922,0.00629425,0.006717682,22.35022
"2025-03-27 20:06:46.45",207,0.006166458,0.005758286,0.009010315,22.36969
"2025-03-27 20:06:46.5",208,0.006235123,0.005451202,0.00712204,22.32633
"2025-03-27 20:06:46.55",209,0.008283615,0.002664566,0.007469177,22.3705
"2025-03-27 20:06:46.6",210,0.005596161,0.003385544,0.005142212,22.34573
"2025-03-27 20:06:46.65",211,0.003967285,0.003286362,0.009889603,22.34487
"2025-03-27 20:06:46.7",212,0.003696442,0.0026474,0.01210403,22.36792
"2025-03-27 20:06:46.75",213,0.005496979,0.00321579,0.006940842,22.34444
"2025-03-27 20:06:46.8",214,0.00687027,0.003417969,0.005393982,22.34509
"2025-03-27 20:06:46.85",215,0.007825851,0.002981186,0.005325317,22.34511
"2025-03-27 20:06:46.9",216,0.007270813,0.002809525,0.008424759,22.32169
"2025-03-27 20:06:46.95",217,0.004741669,0.0006999969,0.009313583,22.34305
"2025-03-27 20:06:47",218,0.004295349,0.003507614,0.009849548,22.32188
"2025-03-27 20:06:47.05",219,0.006055832,0.003353119,0.01019096,22.34658
"2025-03-27 20:06:47.1",220,0.007328033,0.003128052,0.006929398,22.34514
"2025-03-27 20:06:47.15",221,0.007413864,0.000497818,0.008766174,22.32098
