"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Slow"
"TIMESTAMP","RECORD","AirTC1","RH1","AirTC2","RH2","BP_mbar"
"TS","RN","Deg C","%","Deg C","%","hPa"
"","","Smp","Smp","Smp","Smp","Smp"
"2025-03-27 20:09:32",175,21.82352,42.63206,21.70674,42.66343,1011.354
"2025-03-27 20:09:33",176,21.81332,42.57255,21.71745,42.65599,1011.362
"2025-03-27 20:09:34",177,21.83769,42.62688,21.70298,42.71147,1011.365
"2025-03-27 20:09:35",178,21.79911,42.56493,21.77172,42.66864,1011.36
"2025-03-27 20:09:36",179,21.75888,42.61443,21.72008,42.66792,1011.348
"2025-03-27 20:09:37",180,21.74813,42.60963,21.70153,42.6309,1011.359
"2025-03-27 20:09:38",181,21.77502,42.60696,21.70652,42.65722,1011.359
"2025-03-27 20:09:39",182,21.79792,42.63961,21.67832,42.64507,1011.348
"2025-03-27 20:09:40",183,21.75632,42.62528,21.69355,42.66006,1011.366
"2025-03-27 20:09:41",184,21.88332,42.60564,21.72481,42.65639,1011.371
"2025-03-27 20:09:42",185,21.8238,42.57158,21.75428,42.70777,1011.367
"2025-03-27 20:09:43",186,21.83882,42.62673,21.73484,42.67181,1011.364
"2025-03-27 20:09:44",187,21.8238,42.589,21.74812,42.58883,1011.354
"2025-03-27 20:09:45",188,21.80266,42.59181,21.71915,42.66469,1011.366
"2025-03-27 20:09:46",189,21.78491,42.58536,21.75603,42.63578,1011.368
"2025-03-27 20:09:47",190,21.84686,42.61502,21.67702,42.63803,1011.361
"2025-03-27 20:09:48",191,21.82926,42.62218,21.70192,42.58391,1011.376
"2025-03-27 20:09:49",192,21.83541,42.59957,21.72139,42.6185,1011.382
"2025-03-27 20:09:50",193,21.81659,42.62566,21.72637,42.66764,1011.388
"2025-03-27 20:09:51",194,21.76948,42.58311,21.70816,42.60924,1011.374
"2025-03-27 20:09:52",195,21.79034,42.59509,21.74213,42.57539,1011.361
"2025-03-27 20:09:53",196,21.81091,42.57015,21.72227,42.58629,1011.369
"2025-03-27 20:09:54",197,21.7732,42.61838,21.68922,42.57665,1011.371
"2025-03-27 20:09:55",198,21.7988,42.58075,21.70314,42.57962,1011.365
"2025-03-27 20:09:56",199,21.78017,42.59487,21.68198,42.5723,1011.385
"2025-03-27 20:09:57",200,21.8258,42.61513,21.70339,42.55807,1011.441
"2025-03-27 20:09:58",201,21.82079,42.62497,21.73302,42.61554,1011.389
"2025-03-27 20:09:59",202,21.86642,42.55858,21.68805,42.57972,1011.373
"2025-03-27 20:10:00",203,21.83536,42.64995,21.66946,42.58145,1011.375
"2025-03-27 20:10:01",204,21.80337,42.66522,21.7224,42.59594,1011.359
"2025-03-27 20:10:02",205,21.82223,42.58413,21.71629,42.64843,1011.376
"2025-03-27 20:10:03",206,21.82861,42.60265,21.73809,42.57913,1011.367
"2025-03-27 20:10:04",207,21.83526,42.61106,21.703,42.69791,1011.387
"2025-03-27 20:10:05",208,21.87238,42.60534,21.73883,42.6455,1011.44
"2025-03-27 20:10:06",209,21.82025,42.67517,21.71393,42.6189,1011.386
"2025-03-27 20:10:07",210,21.85513,42.66139,21.73655,42.58784,1011.374
"2025-03-27 20:10:08",211,21.84469,42.60151,21.73694,42.5668,1011.363
"2025-03-27 20:10:09",212,21.81935,42.60139,21.74381,42.61707,1011.358
"2025-03-27 20:10:10",213,21.85405,42.5973,21.76479,42.66137,1011.375
"2025-03-27 20:10:11",214,21.83778,42.61797,21.7569,42.61513,1011.367
"2025-03-27 20:10:12",215,21.82294,42.63692,21.74641,42.6099,1011.386
"2025-03-27 20:10:13",216,21.8612,42.6739,21.71185,42.56611,1011.425
"2025-03-27 20:10:14",217,21.88429,42.62455,21.73038,42.66322,1011.37
"2025-03-27 20:10:15",218,21.8805,42.65313,21.72932,42.54157,1011.356
"2025-03-27 20:10:16",219,21.88861,42.67407,21.74045,42.54891,1011.346
"2025-03-27 20:10:17",220,21.84153,42.67235,21.70664,42.51375,1011.343
"2025-03-27 20:10:18",221,21.80016,42.60104,21.65684,42.63832,1011.361
"2025-03-27 20:10:19",222,21.88128,42.65505,21.71536,42.54063,1011.359
"2025-03-27 20:10:20",223,21.82692,42.60969,21.71297,42.58732,1011.373
"2025-03-27 20:10:21",224,21.81541,42.61738,21.74089,42.57896,1011.397
"2025-03-27 20:10:22",225,21.83992,42.5745,21.69607,42.72228,1011.344
"2025-03-27 20:10:23",226,21.84159,42.62228,21.67864,42.81672,1011.392
"2025-03-27 20:10:24",227,21.7975,42.60462,21.67579,42.67241,1011.336
"2025-03-27 20:10:25",228,21.82172,42.59174,21.65153,42.62414,1011.341
"2025-03-27 20:10:26",229,21.82153,42.53673,21.63971,42.66375,1011.412
"2025-03-27 20:10:27",230,21.8224,42.56371,21.64472,42.66766,1011.356
"2025-03-27 20:10:28",231,21.79795,42.61097,21.64794,42.61788,1011.357
"2025-03-27 20:10:29",232,21.8014,42.58966,21.66236,42.66471,1011.35
"2025-03-27 20:10:30",233,21.82479,42.6052,21.63584,42.66873,1011.343
"2025-03-27 20:10:31",234,21.81418,42.6068,21.63565,42.63255,1011.387
"2025-03-27 20:10:32",235,21.75934,42.56837,21.62593,42.61174,1011.333
"2025-03-27 20:10:33",236,21.79987,42.58709,21.6709,42.67088,1011.328
"2025-03-27 20:10:34",237,21.82795,42.5474,21.64258,42.65039,1011.397
"2025-03-27 20:10:35",238,21.80715,42.59697,21.6885,42.58014,1011.349
"2025-03-27 20:10:36",239,21.79618,42.58915,21.71157,42.61017,1011.348
"2025-03-27 20:10:37",240,21.84065,42.6289,21.66645,42.54591,1011.336
"2025-03-27 20:10:38",241,21.82904,42.52842,21.71982,42.64063,1011.336
"2025-03-27 20:10:39",242,21.82121,42.57768,21.6973,42.59461,1011.396
"2025-03-27 20:10:40",243,21.81692,42.54692,21.71975,42.55315,1011.345
"2025-03-27 20:10:41",244,21.8502,42.58429,21.70199,42.58485,1011.341
"2025-03-27 20:10:42",245,21.81601,42.59066,21.72906,42.61981,1011.405
"2025-03-27 20:10:43",246,21.85332,42.54972,21.78341,42.5894,1011.358
"2025-03-27 20:10:44",247,21.78885,42.48053,21.64418,42.6262,1011.362
"2025-03-27 20:10:45",248,21.79685,42.44948,21.67857,42.63219,1011.342
"2025-03-27 20:10:46",249,21.81728,42.49857,21.91768,42.64557,1011.325
"2025-03-27 20:10:47",250,21.78825,42.51669,21.71409,42.55005,1011.383
"2025-03-27 20:10:48",251,21.82541,42.53992,21.71444,42.60375,1011.336
"2025-03-27 20:10:49",252,21.79079,42.52876,21.69768,42.56793,1011.332
"2025-03-27 20:10:50",253,21.84561,42.67471,21.7148,42.55327,1011.392
"2025-03-27 20:10:51",254,21.84409,42.53284,21.67049,42.50661,1011.346
"2025-03-27 20:10:52",255,21.78765,42.58034,21.72411,42.48827,1011.343
"2025-03-27 20:10:53",256,21.8288,42.56244,21.66331,42.46625,1011.332
