Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
25.06,0.27,25.85,24.45
25.03,0.29,25.94,24.31
25.01,0.27,25.79,24.32
24.93,0.25,25.74,24.24
24.85,0.23,25.53,24.16
24.75,0.21,25.32,23.95
24.7,0.19,25.14,24.08
24.62,0.17,25.06,24.01
24.56,0.16,25.02,23.9
24.52,0.14,25.04,23.95
24.51,0.15,25.06,23.89
24.49,0.18,25.13,23.9
24.48,0.18,25.13,23.87
24.42,0.17,24.92,23.78
24.4,0.15,24.84,23.82
24.37,0.14,24.86,23.59
24.4,0.12,24.83,23.89
24.39,0.12,24.92,23.81
24.39,0.12,24.94,23.91
24.44,0.14,25.04,23.88
24.49,0.14,24.99,23.87
24.54,0.13,25.16,23.9
24.58,0.12,25.06,24.0
24.62,0.12,25.04,24.07
24.64,0.13,24.97,24.09
24.67,0.16,25.13,24.09
24.66,0.16,25.13,23.98
24.64,0.17,25.18,23.98
24.67,0.18,25.14,24.04
24.68,0.19,25.24,23.98
24.71,0.18,25.24,24.04
24.72,0.19,25.24,24.01
24.72,0.19,25.2,24.04
24.74,0.19,25.24,23.87
24.79,0.19,25.22,23.89
24.72,0.19,25.19,23.68
24.73,0.18,25.11,23.92
24.75,0.2,25.18,23.98
24.72,0.2,25.15,24.0
24.72,0.21,25.29,23.97
24.71,0.21,25.33,23.95
24.73,0.24,25.31,24.05
24.68,0.22,25.21,23.96
24.63,0.21,25.15,23.98
24.67,0.24,25.23,23.95
24.72,0.24,25.33,23.92
24.76,0.26,25.42,24.01
24.9,0.29,25.74,24.08
25.0,0.33,25.81,24.08
25.07,0.36,25.94,24.1
25.08,0.37,25.89,24.09
25.15,0.42,26.22,24.05
25.22,0.45,26.24,24.05
25.26,0.46,26.34,24.06
25.31,0.45,26.28,24.17
25.37,0.46,26.35,24.23
25.45,0.51,26.64,24.2
25.48,0.53,26.68,24.11
25.42,0.5,26.48,24.19
25.42,0.51,26.62,24.23
25.44,0.48,26.51,24.23
25.44,0.47,26.44,24.14
25.44,0.48,26.39,24.18
25.46,0.47,26.35,24.19
25.48,0.45,26.36,24.23
25.5,0.42,26.33,24.26
25.51,0.41,26.34,24.23
25.53,0.43,26.64,24.21
25.59,0.41,26.64,24.44
25.6,0.43,26.86,24.48
25.62,0.44,26.74,24.44
25.62,0.43,26.67,24.53
25.64,0.47,26.84,24.51
25.68,0.49,26.91,24.53
25.66,0.47,26.76,24.49
25.68,0.46,26.73,24.53
25.69,0.46,26.69,24.51
25.69,0.44,26.62,24.47
25.69,0.44,26.86,24.49
25.69,0.43,26.92,24.44
25.69,0.4,26.75,24.52
25.69,0.41,26.61,24.5
25.69,0.43,26.59,24.41
25.67,0.41,26.64,24.53
25.62,0.42,26.85,24.57
25.59,0.43,26.8,24.5
25.59,0.42,26.67,24.47
25.57,0.44,26.85,24.51
25.56,0.47,26.93,24.5
25.58,0.48,26.95,24.45
25.52,0.47,26.86,24.49
25.51,0.48,26.92,24.42
